n,k,d
2.86396,-0.0967909,0.0005
2.43479,-0.0218786,0.0005
2.40688,-0.0498507,0.0005
2.25453,-0.0775634,0.0005
2.3155,-0.0911529,0.0005
2.18372,-0.0670451,0.0005
2.97728,-0.0473724,0.0005
2.93214,-0.00524152,0.0005
2.68098,-0.0448494,0.0005
2.20281,-0.008335,0.0005
2.14856,-0.0856187,0.0005
2.49045,-0.0162724,0.0005
2.72597,-0.019993,0.0005
2.16457,-0.090394,0.0005
2.33431,-0.00220319,0.0005
2.95862,-0.0103279,0.0005
2.28187,-0.00497317,0.0005
2.07122,-0.0950945,0.0005
2.36161,-0.0694705,0.0005
2.26315,-0.0496699,0.0005
2.80193,-0.074255,0.0005
2.17192,-0.045695,0.0005
2.6628,-0.0950973,0.0005
2.90468,-0.0752667,0.0005
2.10569,-0.0239154,0.0005
2.70056,-0.0296759,0.0005
2.36981,-0.0742515,0.0005
2.31693,-0.07347,0.0005
2.18218,-0.047199,0.0005
2.4578,-0.0627287,0.0005
2.52885,-0.00813849,0.0005
2.30154,-0.072419,0.0005
2.19869,-0.0822805,0.0005
2.6277,-0.0727945,0.0005
2.97567,-0.0827978,0.0005
2.02473,-0.01573,0.0005
2.78455,-0.0149929,0.0005
2.75659,-0.0183346,0.0005
2.1609,-0.0812872,0.0005
2.76393,-0.0555069,0.0005
2.78971,-0.0898459,0.0005
2.43025,-0.0333167,0.0005
2.27942,-0.0290569,0.0005
2.07545,-0.00461161,0.0005
2.01684,-0.0980266,0.0005
2.78294,-0.0962606,0.0005
2.32017,-0.00639723,0.0005
2.78453,-0.0846436,0.0005
2.90486,-0.079024,0.0005
2.60322,-0.00404861,0.0005
2.43243,-0.0689696,0.0005
2.46832,-0.0971614,0.0005
2.49828,-0.00511138,0.0005
2.70012,-0.0598006,0.0005
2.28063,-0.0790331,0.0005
2.33002,-0.0189566,0.0005
2.68607,-0.0125258,0.0005
2.76108,-0.0876253,0.0005
2.27165,-0.0194881,0.0005
2.00677,-0.0712022,0.0005
2.61089,-0.0541929,0.0005
2.95531,-0.0183543,0.0005
2.9254,-0.0560389,0.0005
2.2008,-0.0649562,0.0005
2.99084,-0.0555075,0.0005
2.21271,-0.0254496,0.0005
2.27162,-0.00575469,0.0005
2.16836,-0.0743994,0.0005
2.89104,-0.0137177,0.0005
2.70838,-0.0471472,0.0005
2.26785,-0.0416676,0.0005
2.33699,-0.0923852,0.0005
2.68522,-0.0899653,0.0005
2.14238,-0.0197091,0.0005
2.49279,-0.0979606,0.0005
2.33394,-0.00260617,0.0005
2.88955,-0.0401089,0.0005
2.08125,-0.0161359,0.0005
2.04746,-0.0570147,0.0005
2.17352,-0.0965168,0.0005
2.56774,-0.0119298,0.0005
2.89156,-0.0238045,0.0005
2.76083,-0.00686401,0.0005
2.83937,-0.00159661,0.0005
2.95432,-0.0376806,0.0005
2.34048,-0.0496014,0.0005
2.50015,-0.0606539,0.0005
2.48194,-0.0334153,0.0005
2.56321,-0.0833471,0.0005
2.80177,-0.0521268,0.0005
2.3683,-0.028557,0.0005
2.30456,-0.0649109,0.0005
2.33751,-0.0508928,0.0005
2.31859,-0.0501092,0.0005
2.53736,-0.0232995,0.0005
2.47564,-0.0783516,0.0005
2.41885,-0.0185899,0.0005
2.36004,-0.0571966,0.0005
2.10074,-0.0618559,0.0005
2.16994,-0.067061,0.0005
2.08831,-0.0440574,0.0005
2.32178,-0.080516,0.0005
2.77174,-0.0412278,0.0005
2.0277,-0.0719513,0.0005
2.69853,-0.0980851,0.0005
2.61203,-0.00944115,0.0005
2.92967,-0.0331984,0.0005
2.09172,-0.0261169,0.0005
2.02272,-0.0567511,0.0005
2.53923,-0.0936305,0.0005
2.48155,-0.0636796,0.0005
2.06573,-0.0657108,0.0005
2.14801,-0.039876,0.0005
2.64953,-0.0165859,0.0005
2.9887,-0.082575,0.0005
2.98029,-0.00358392,0.0005
2.66476,-0.0400776,0.0005
2.60275,-0.085097,0.0005
2.32425,-0.00154691,0.0005
2.42145,-0.0191792,0.0005
2.2273,-0.064066,0.0005
2.82688,-0.00159007,0.0005
2.98097,-0.0872761,0.0005
2.20352,-0.0155145,0.0005
2.30076,-0.00742013,0.0005
2.12954,-0.0054479,0.0005
2.4749,-0.0944039,0.0005
2.55042,-0.0225282,0.0005
2.87229,-0.0312432,0.0005
2.33399,-0.0682356,0.0005
2.37103,-0.0784713,0.0005
2.82153,-0.0165704,0.0005
2.40376,-0.0711924,0.0005
2.78812,-0.0352011,0.0005
2.70762,-0.0736492,0.0005
2.90539,-0.0663373,0.0005
2.79537,-0.0657632,0.0005
2.94051,-0.0190334,0.0005
2.91501,-0.0143225,0.0005
2.69196,-0.0782015,0.0005
2.7128,-0.0669081,0.0005
2.21301,-0.018862,0.0005
2.01812,-0.0222978,0.0005
2.65828,-0.0767341,0.0005
2.68891,-0.0590722,0.0005
2.5559,-0.0784612,0.0005
2.28945,-0.0565434,0.0005
2.89798,-0.0399505,0.0005
2.39311,-0.062464,0.0005
2.05102,-0.0421457,0.0005
2.23943,-0.0560883,0.0005
2.23549,-0.0795727,0.0005
2.1677,-0.0936624,0.0005
2.90606,-0.0707339,0.0005
2.0422,-0.0283058,0.0005
2.13875,-0.0409545,0.0005
2.45603,-0.0250209,0.0005
2.86645,-0.0111307,0.0005
2.546,-0.0165446,0.0005
2.64113,-0.0461723,0.0005
2.51081,-0.00839962,0.0005
2.76965,-0.0281822,0.0005
2.53775,-0.0441245,0.0005
2.24836,-0.0199338,0.0005
2.23238,-0.018139,0.0005
2.14583,-0.0977002,0.0005
2.78174,-0.0479412,0.0005
2.1129,-0.00834942,0.0005
2.38274,-0.00353428,0.0005
2.96042,-0.0565934,0.0005
2.70415,-0.0126234,0.0005
2.26316,-0.0949813,0.0005
2.87827,-0.054438,0.0005
2.69804,-0.0840183,0.0005
2.95034,-0.0676994,0.0005
2.77236,-0.00653458,0.0005
2.77939,-0.0673692,0.0005
2.47701,-0.0296292,0.0005
2.29206,-0.00220332,0.0005
2.14713,-0.0414076,0.0005
2.34765,-0.0470774,0.0005
2.98148,-0.013327,0.0005
2.99646,-0.00178468,0.0005
2.09685,-0.00866824,0.0005
2.67433,-0.0703186,0.0005
2.19906,-0.0871012,0.0005
2.53842,-0.0520538,0.0005
2.82086,-0.0666224,0.0005
2.28214,-0.0485934,0.0005
2.4426,-0.0596892,0.0005
2.96976,-0.00195573,0.0005
2.09983,-0.0535575,0.0005
2.29286,-0.0697909,0.0005
2.85222,-0.0668126,0.0005
2.81148,-0.0138711,0.0005
2.22999,-0.0851873,0.0005
2.81578,-0.0149593,0.0005
2.83501,-0.0119895,0.0005
2.29928,-0.0235018,0.0005
2.0961,-0.0235277,0.0005
2.2179,-0.0286155,0.0005
2.98261,-0.0371459,0.0005
2.67245,-0.0035916,0.0005
2.5653,-0.061961,0.0005
2.17252,-0.0650922,0.0005
2.21527,-0.00596395,0.0005
2.32348,-0.019181,0.0005
2.44086,-0.0618491,0.0005
2.60984,-0.0985638,0.0005
2.47304,-0.0934825,0.0005
2.91662,-0.0808806,0.0005
2.27233,-0.007904,0.0005
2.72251,-0.0831808,0.0005
2.94715,-0.0868614,0.0005
2.46396,-0.031536,0.0005
2.04256,-0.0548897,0.0005
2.64096,-0.0462184,0.0005
2.00145,-0.0212896,0.0005
2.17536,-0.0156255,0.0005
2.91616,-0.0951289,0.0005
2.86426,-0.0708312,0.0005
2.55203,-0.0582169,0.0005
2.52876,-0.0563248,0.0005
2.9972,-0.0685333,0.0005
2.51384,-0.0492869,0.0005
2.26735,-0.096526,0.0005
2.21966,-0.0876536,0.0005
2.5955,-0.0909426,0.0005
2.36449,-0.0587991,0.0005
2.26167,-0.0962336,0.0005
2.21105,-0.0551374,0.0005
2.94331,-0.0322914,0.0005
2.07334,-0.0781596,0.0005
2.4603,-0.0629264,0.0005
2.28739,-0.0613821,0.0005
2.75095,-0.0348515,0.0005
2.44163,-0.0384761,0.0005
2.9972,-0.0920907,0.0005
2.27124,-0.0224221,0.0005
2.86032,-0.0533206,0.0005
2.54277,-0.0840151,0.0005
2.16443,-0.0160803,0.0005
2.84215,-0.0899251,0.0005
2.90414,-0.0171057,0.0005
2.5229,-0.0696821,0.0005
2.19103,-0.0967614,0.0005
2.52003,-0.0240652,0.0005
2.31428,-0.0700871,0.0005
2.36403,-0.0224022,0.0005
2.50211,-0.028273,0.0005
2.66888,-0.0279691,0.0005
2.99896,-0.0184007,0.0005
2.27742,-0.0383151,0.0005
2.25201,-0.00350734,0.0005
2.50239,-0.0954835,0.0005
2.97021,-0.08634,0.0005
2.38791,-0.0222344,0.0005
2.87098,-0.0581421,0.0005
2.60264,-0.0990642,0.0005
2.41652,-0.00836141,0.0005
2.11591,-0.0236942,0.0005
2.93376,-0.092575,0.0005
2.16806,-0.0708084,0.0005
2.1026,-0.0391028,0.0005
2.96811,-0.0799408,0.0005
2.26752,-0.0539848,0.0005
2.15052,-0.0725833,0.0005
2.57197,-0.0953604,0.0005
2.59448,-0.00845184,0.0005
2.20144,-0.044799,0.0005
2.30687,-0.0220672,0.0005
2.94492,-0.0793222,0.0005
2.48065,-0.0427745,0.0005
2.96527,-0.0783781,0.0005
2.02807,-0.0285623,0.0005
2.67333,-0.0196274,0.0005
2.70212,-0.0766362,0.0005
2.3041,-0.0155381,0.0005
2.45466,-0.0432705,0.0005
2.21491,-0.00768547,0.0005
2.0891,-0.0571487,0.0005
2.55195,-0.0634436,0.0005
2.51071,-0.0137551,0.0005
2.39673,-0.0305019,0.0005
2.44883,-0.0238065,0.0005
2.51527,-0.0498998,0.0005
2.44777,-0.0937575,0.0005
2.81331,-0.058295,0.0005
2.79878,-0.0228594,0.0005
2.88889,-0.0411168,0.0005
2.01325,-0.0179724,0.0005
2.76326,-0.0214358,0.0005
2.55585,-0.0963491,0.0005
2.34618,-0.0353261,0.0005
2.26142,-0.0211512,0.0005
2.54302,-0.0467987,0.0005
2.23759,-0.0495695,0.0005
2.78006,-0.0380951,0.0005
2.86668,-0.0170416,0.0005
2.45668,-0.0242061,0.0005
2.4745,-0.084636,0.0005
2.05259,-0.0382555,0.0005
2.28153,-0.0909859,0.0005
2.98842,-0.0512583,0.0005
2.50933,-0.00707403,0.0005
2.55206,-0.000224041,0.0005
2.53357,-0.0892052,0.0005
2.67963,-0.00272484,0.0005
2.17505,-0.0474057,0.0005
2.87253,-0.0403958,0.0005
2.73153,-0.0146973,0.0005
2.22498,-0.0394485,0.0005
2.26988,-0.0108197,0.0005
2.48662,-0.0271872,0.0005
2.44257,-0.071075,0.0005
2.03987,-0.0364565,0.0005
2.09469,-0.0838801,0.0005
2.09396,-0.0974484,0.0005
2.62876,-0.0915657,0.0005
2.55136,-0.0637147,0.0005
2.55849,-0.0472365,0.0005
2.78027,-0.0951776,0.0005
2.62223,-0.0308055,0.0005
2.08478,-0.0604044,0.0005
2.08219,-0.0118897,0.0005
2.15997,-0.0025695,0.0005
2.59288,-0.0119476,0.0005
2.93245,-0.0960613,0.0005
2.67582,-0.034335,0.0005
2.93944,-0.0369015,0.0005
2.14322,-0.0991727,0.0005
2.38623,-0.0328205,0.0005
2.12196,-0.0172424,0.0005
2.28307,-0.0974946,0.0005
2.38594,-0.0561002,0.0005
2.29568,-0.042379,0.0005
2.70573,-0.0355946,0.0005
2.79881,-0.0960076,0.0005
2.23507,-0.09187,0.0005
2.05878,-0.0759198,0.0005
2.00042,-0.0979346,0.0005
2.83767,-0.0401654,0.0005
2.93305,-0.0360876,0.0005
2.62624,-0.048063,0.0005
2.95856,-0.00945759,0.0005
2.25122,-0.00826487,0.0005
2.62803,-0.0375471,0.0005
2.11731,-0.09897,0.0005
2.35849,-0.0599471,0.0005
2.90327,-0.0626828,0.0005
2.81759,-0.0914017,0.0005
2.24055,-0.0993165,0.0005
2.03996,-0.00564906,0.0005
2.12018,-0.00865974,0.0005
2.85151,-0.0683765,0.0005
2.48482,-0.0286998,0.0005
2.55621,-0.0838014,0.0005
2.39164,-0.0730135,0.0005
2.74848,-0.0661742,0.0005
2.89388,-0.0106669,0.0005
2.54093,-0.0922096,0.0005
2.51087,-0.061175,0.0005
2.42001,-0.0134793,0.0005
2.66115,-0.0721066,0.0005
2.66302,-0.0558392,0.0005
2.03045,-0.0844857,0.0005
2.02049,-0.03144,0.0005
2.43044,-0.0544785,0.0005
2.70056,-0.0461781,0.0005
2.38597,-0.0260095,0.0005
2.83409,-0.0955079,0.0005
2.00063,-0.0842486,0.0005
2.15842,-0.0018973,0.0005
2.72886,-0.0742942,0.0005
2.86833,-0.0151688,0.0005
2.7044,-0.0268741,0.0005
2.4049,-0.0259701,0.0005
2.13227,-0.0210873,0.0005
2.2504,-0.0272423,0.0005
2.51547,-0.0211662,0.0005
2.10827,-0.0811301,0.0005
2.53077,-0.0577893,0.0005
2.66369,-0.0952107,0.0005
2.22927,-0.00159157,0.0005
2.14429,-0.0301108,0.0005
2.21516,-0.0220751,0.0005
2.56671,-0.00972146,0.0005
2.99772,-0.0607673,0.0005
2.1766,-0.0298015,0.0005
2.32461,-0.0814582,0.0005
2.69631,-0.066817,0.0005
2.62831,-0.0113274,0.0005
2.29598,-0.0928422,0.0005
2.16226,-0.0948658,0.0005
2.529,-0.042014,0.0005
2.78285,-0.0541153,0.0005
2.18366,-0.000942673,0.0005
2.77088,-0.0548678,0.0005
2.30532,-0.0124662,0.0005
2.34894,-0.0598402,0.0005
2.13282,-0.0280735,0.0005
2.45293,-0.0514917,0.0005
2.65257,-0.0871816,0.0005
2.9743,-0.0723392,0.0005
2.66745,-0.0268093,0.0005
2.71423,-0.0913855,0.0005
2.11293,-0.00337965,0.0005
2.20822,-0.0986236,0.0005
2.37378,-0.0249169,0.0005
2.31877,-0.0871693,0.0005
2.94189,-0.0454501,0.0005
2.45926,-0.0317156,0.0005
2.25016,-0.0598412,0.0005
2.86625,-0.0385268,0.0005
2.10958,-0.0687722,0.0005
2.025,-0.00171838,0.0005
2.24161,-0.0934107,0.0005
2.81729,-0.0762517,0.0005
2.39961,-0.00772102,0.0005
2.0961,-0.0192482,0.0005
2.49613,-0.0150621,0.0005
2.09594,-0.0587595,0.0005
2.16693,-0.0737177,0.0005
2.10263,-0.0783069,0.0005
2.7196,-0.0234058,0.0005
2.46663,-0.0891276,0.0005
2.4788,-0.0223394,0.0005
2.03764,-0.00426592,0.0005
2.34349,-0.0388659,0.0005
2.95849,-0.045953,0.0005
2.47441,-0.0407044,0.0005
2.26521,-0.0889391,0.0005
2.3484,-0.0257593,0.0005
2.93777,-0.0744765,0.0005
2.24716,-0.0498087,0.0005
2.88609,-0.0282223,0.0005
2.18063,-0.0781636,0.0005
2.53906,-0.00427242,0.0005
2.77869,-0.0325637,0.0005
2.86684,-0.066589,0.0005
2.02439,-0.0257357,0.0005
2.42236,-0.0851178,0.0005
2.94781,-0.0180298,0.0005
2.96172,-0.0830081,0.0005
2.98401,-0.067702,0.0005
2.44119,-0.041606,0.0005
2.4936,-0.0493765,0.0005
2.31923,-0.0171234,0.0005
2.3291,-0.00893345,0.0005
2.30854,-0.00673367,0.0005
2.70019,-0.00957872,0.0005
2.19924,-0.0786351,0.0005
2.77342,-0.0311427,0.0005
2.61285,-0.0464917,0.0005
2.31527,-0.0132749,0.0005
2.82228,-0.0591456,0.0005
2.59753,-0.000330083,0.0005
2.3311,-0.099468,0.0005
2.84801,-0.0404802,0.0005
2.46417,-0.0170377,0.0005
2.29248,-0.0957635,0.0005
2.32438,-0.0967767,0.0005
2.13902,-0.0100487,0.0005
2.49084,-0.095725,0.0005
2.64305,-0.00279095,0.0005
2.18724,-0.0742867,0.0005
2.14101,-0.00643022,0.0005
2.42978,-0.062843,0.0005
2.66378,-0.0395006,0.0005
2.07416,-0.0744851,0.0005
2.62266,-0.0208597,0.0005
2.74179,-0.0698663,0.0005
2.84821,-0.0237959,0.0005
2.29464,-0.0459214,0.0005
2.43329,-0.0367435,0.0005
2.07033,-0.091129,0.0005
2.31509,-0.00126666,0.0005
2.50242,-0.0188618,0.0005
2.05491,-0.053362,0.0005
2.99954,-0.0690969,0.0005
2.74302,-0.060933,0.0005
2.25325,-0.0519978,0.0005
2.63481,-0.0195185,0.0005
2.94262,-0.0814479,0.0005
2.01913,-0.0276802,0.0005
2.56683,-0.0450519,0.0005
2.45687,-0.0844167,0.0005
2.84241,-0.0708163,0.0005
2.28614,-0.0865754,0.0005
2.02656,-0.0617647,0.0005
2.63547,-0.0883049,0.0005
2.2844,-0.0594876,0.0005
2.16603,-0.0703638,0.0005
2.51948,-0.0978177,0.0005
2.24462,-0.0275396,0.0005
2.39868,-0.0381384,0.0005
2.39461,-0.0506297,0.0005
2.90444,-0.000658417,0.0005
2.75397,-0.027623,0.0005
2.52394,-0.0228832,0.0005
2.40969,-0.00216029,0.0005
2.85515,-0.0124003,0.0005
2.82977,-0.0443715,0.0005
2.02392,-0.0497523,0.0005
2.32643,-0.0886382,0.0005
2.26097,-0.0184696,0.0005
2.77217,-0.0849328,0.0005
2.64132,-0.00488117,0.0005
2.06609,-0.0908035,0.0005
2.42882,-0.00289802,0.0005
2.91526,-0.0271914,0.0005
2.53813,-0.0460163,0.0005
2.88328,-0.0642989,0.0005
2.14613,-0.0321266,0.0005
2.77779,-0.0397896,0.0005
2.43083,-0.0730746,0.0005
2.78028,-0.0539245,0.0005
2.90726,-0.0608912,0.0005
2.05274,-0.0966076,0.0005
2.65013,-0.022493,0.0005
2.6696,-0.0507756,0.0005
2.5099,-0.0666655,0.0005
2.76795,-0.0658292,0.0005
2.19763,-0.0787676,0.0005
2.54326,-0.0887168,0.0005
2.88229,-0.0491496,0.0005
2.1371,-0.0763302,0.0005
2.58444,-0.0827595,0.0005
2.05175,-0.0501193,0.0005
2.95381,-0.0118026,0.0005
2.64857,-0.0870946,0.0005
2.63513,-0.0192448,0.0005
2.80652,-0.0369688,0.0005
2.05802,-0.0948702,0.0005
2.1026,-0.026189,0.0005
2.1539,-0.0603977,0.0005
2.04457,-0.0895551,0.0005
2.78988,-0.0461586,0.0005
2.99646,-0.0752732,0.0005
2.66378,-0.0283886,0.0005
2.35784,-0.0645998,0.0005
2.60669,-0.0910751,0.0005
2.1228,-0.0314376,0.0005
2.659,-0.0229595,0.0005
2.35201,-0.0569774,0.0005
2.03423,-0.0790646,0.0005
2.85088,-0.0274961,0.0005
2.93355,-0.0772824,0.0005
2.35699,-0.0970931,0.0005
2.17626,-0.0408735,0.0005
2.10648,-0.0821529,0.0005
2.10519,-0.0436158,0.0005
2.94942,-0.0949871,0.0005
2.36041,-0.0993391,0.0005
2.83107,-0.0959066,0.0005
2.02691,-0.0556092,0.0005
2.14385,-0.0297846,0.0005
2.68928,-0.047427,0.0005
2.47676,-0.0642338,0.0005
2.05839,-0.0775527,0.0005
2.2425,-0.0679304,0.0005
2.99205,-0.0199131,0.0005
2.72651,-0.0934858,0.0005
2.4352,-0.0268075,0.0005
2.47344,-0.0839581,0.0005
2.78646,-0.0434738,0.0005
2.96922,-0.0143839,0.0005
2.49749,-0.00146939,0.0005
2.51037,-0.0491268,0.0005
2.06497,-0.0419546,0.0005
2.17801,-0.067454,0.0005
2.15548,-0.00493456,0.0005
2.19142,-0.0133961,0.0005
2.15324,-0.035407,0.0005
2.70137,-0.0537753,0.0005
2.69514,-0.0449388,0.0005
2.44781,-0.0498328,0.0005
2.94283,-0.00367275,0.0005
2.54105,-0.0310191,0.0005
2.63516,-0.0592158,0.0005
2.89048,-0.0899433,0.0005
2.20454,-0.000275948,0.0005
2.83179,-0.0199312,0.0005
2.45354,-0.0683322,0.0005
2.50195,-0.041004,0.0005
2.44692,-0.0289851,0.0005
2.23082,-0.0293724,0.0005
2.5965,-0.0583662,0.0005
2.17869,-0.00954354,0.0005
2.07873,-0.0359147,0.0005
2.70396,-0.0183029,0.0005
2.36671,-0.0467855,0.0005
2.37042,-0.000570376,0.0005
2.25389,-0.0378497,0.0005
2.30838,-0.0331301,0.0005
2.71567,-0.0741845,0.0005
2.69047,-0.0964525,0.0005
2.88243,-0.0384184,0.0005
2.75712,-0.0551881,0.0005
2.4679,-0.0300666,0.0005
2.99276,-0.030673,0.0005
2.69697,-0.0620543,0.0005
2.47646,-0.0321128,0.0005
2.39068,-0.0186719,0.0005
2.86737,-0.0611396,0.0005
2.9802,-0.0881043,0.0005
2.11867,-0.0389236,0.0005
2.66228,-0.0206898,0.0005
2.84414,-0.0276352,0.0005
2.00313,-0.0700696,0.0005
2.01157,-0.0163671,0.0005
2.67267,-0.0858156,0.0005
2.34109,-0.0669156,0.0005
2.55662,-0.00946805,0.0005
2.48337,-0.0321347,0.0005
2.31671,-0.0778382,0.0005
2.77882,-0.0209598,0.0005
2.97113,-0.0289781,0.0005
2.37934,-0.0380908,0.0005
2.62136,-0.0658665,0.0005
2.20519,-0.0443601,0.0005
2.22719,-0.00441008,0.0005
2.92459,-0.0882022,0.0005
2.16391,-0.0958618,0.0005
2.74419,-0.0952882,0.0005
2.1733,-0.0286171,0.0005
2.20311,-0.0406869,0.0005
2.30097,-0.00520686,0.0005
2.80162,-0.0713469,0.0005
2.29335,-0.0292882,0.0005
2.55511,-0.0224887,0.0005
2.82065,-0.0942514,0.0005
2.7761,-0.0797025,0.0005
2.35598,-0.0561079,0.0005
2.50375,-0.0694745,0.0005
2.33475,-0.0533527,0.0005
2.0969,-0.0846739,0.0005
2.90323,-0.0652494,0.0005
2.52317,-0.0518931,0.0005
2.88206,-0.0811741,0.0005
2.97467,-0.0723801,0.0005
2.22627,-0.0626957,0.0005
2.81442,-0.0613809,0.0005
2.5057,-0.0503754,0.0005
2.21308,-0.0376816,0.0005
2.10181,-0.0642822,0.0005
2.5498,-0.0855421,0.0005
2.4811,-0.0392867,0.0005
2.5208,-0.0701519,0.0005
2.91238,-0.085091,0.0005
2.51167,-0.0598541,0.0005
2.86101,-0.0905433,0.0005
2.30158,-0.0969229,0.0005
2.43522,-0.0778139,0.0005
2.64968,-0.0413285,0.0005
2.68266,-0.0861265,0.0005
2.22192,-0.0932137,0.0005
2.8786,-0.044869,0.0005
2.8426,-0.0765692,0.0005
2.62135,-0.0115909,0.0005
2.25277,-0.046932,0.0005
2.33613,-0.0231584,0.0005
2.93728,-0.0625547,0.0005
2.70734,-0.00580791,0.0005
2.74557,-0.0524054,0.0005
2.55124,-0.0531565,0.0005
2.30753,-0.0400476,0.0005
2.78931,-0.094587,0.0005
2.16313,-0.0891169,0.0005
2.43448,-0.0884969,0.0005
2.09046,-0.0795081,0.0005
2.56688,-0.00284001,0.0005
2.55878,-0.0214521,0.0005
2.99123,-0.0864674,0.0005
2.10642,-0.0870426,0.0005
2.51617,-0.0093825,0.0005
2.90513,-0.014134,0.0005
2.90191,-0.0146031,0.0005
2.83485,-0.0200268,0.0005
2.28916,-0.0400039,0.0005
2.12178,-0.0771002,0.0005
2.38051,-0.0181578,0.0005
2.30291,-0.0217624,0.0005
2.19128,-0.0894032,0.0005
2.60585,-0.0449591,0.0005
2.82287,-0.0743186,0.0005
2.87429,-0.0441546,0.0005
2.25929,-0.093122,0.0005
2.55496,-0.0875081,0.0005
2.9747,-0.0351881,0.0005
2.94046,-0.047306,0.0005
2.863,-0.0668313,0.0005
2.73397,-0.0652323,0.0005
2.23698,-0.0877734,0.0005
2.01003,-0.0109504,0.0005
2.5108,-0.097052,0.0005
2.35367,-0.0386635,0.0005
2.57237,-0.0392308,0.0005
2.81452,-0.0546178,0.0005
2.67302,-0.036327,0.0005
2.86971,-0.0115654,0.0005
2.22805,-0.00525509,0.0005
2.03157,-0.0654815,0.0005
2.85398,-0.0331107,0.0005
2.47721,-0.0927035,0.0005
2.37674,-0.0495474,0.0005
2.78671,-0.0778132,0.0005
2.42375,-0.0283375,0.0005
2.14165,-0.012894,0.0005
2.31237,-0.0207965,0.0005
2.40921,-0.00422867,0.0005
2.27805,-0.0331626,0.0005
2.46851,-0.099861,0.0005
2.19108,-0.0400262,0.0005
2.92119,-0.0517813,0.0005
2.44345,-0.0519244,0.0005
2.1546,-0.0723789,0.0005
2.11933,-0.0512907,0.0005
2.22702,-0.0662044,0.0005
2.23686,-0.035667,0.0005
2.77906,-0.070476,0.0005
2.54496,-0.0962508,0.0005
2.42903,-0.0155304,0.0005
2.21776,-0.0154684,0.0005
2.86854,-0.0185006,0.0005
2.65776,-0.0952503,0.0005
2.50842,-0.00685821,0.0005
2.03097,-0.0129494,0.0005
2.8827,-0.0459224,0.0005
2.31295,-0.06007,0.0005
2.26365,-0.0166877,0.0005
2.73259,-0.0582218,0.0005
2.51258,-0.0609893,0.0005
2.59974,-0.012356,0.0005
2.40879,-0.0948607,0.0005
2.92918,-0.0462781,0.0005
2.38969,-0.0289876,0.0005
2.39319,-0.000419125,0.0005
2.94369,-0.0359648,0.0005
2.59757,-0.0522404,0.0005
2.75865,-0.048235,0.0005
2.35287,-0.0823448,0.0005
2.18415,-0.0291714,0.0005
2.4427,-0.0374889,0.0005
2.29382,-0.0888699,0.0005
2.11209,-0.0224886,0.0005
2.28394,-0.0110192,0.0005
2.17198,-0.0125051,0.0005
